Dataset,Entry Date,Exit Date,Direction,Duration (days),Entry Value,Exit Value,P&L,P&L %
TRAIN,2011-08-18,2012-03-21,SHORT,216,1211094.2413093774,1127796.920874159,-83297.32043521828,-6.877856205901961
TRAIN,2012-05-23,2013-02-07,SHORT,260,1423595.2193247918,1321844.6552171153,-101750.5641076765,-7.147436485206558
TRAIN,2013-04-16,2013-07-31,SHORT,106,1638644.9331817464,1411685.1251048578,-226959.80807688856,-13.850456769557889
TRAIN,2013-10-22,2013-12-02,LONG,41,1226595.504771693,1451759.6543226044,225164.1495509115,18.35683798570756
TRAIN,2014-11-19,2016-02-24,LONG,462,1263895.2665925235,1507395.3340077407,243500.06741521717,19.265842182611873
TRAIN,2016-03-24,2016-10-26,LONG,216,1239564.2445219543,1542130.7170236686,302566.47250171425,24.409099717005866
TRAIN,2017-06-26,2018-01-22,SHORT,210,1898941.0080510883,1703979.7132579768,-194961.2947931115,-10.266843149235227
TRAIN,2018-03-02,2018-08-23,SHORT,174,2102760.9893529066,1860656.7467928736,-242104.242560033,-11.513635823847816
TRAIN,2018-09-14,2018-11-15,LONG,62,1551939.520781288,1919828.374550956,367888.85376966815,23.705102476188188
TRAIN,2019-02-20,2019-05-24,LONG,93,1621616.073160627,1988516.166969193,366900.093808566,22.625583199447185
TEST,2019-11-05,2020-09-28,SHORT,328,1397464.8010029197,1290159.0201285486,-107305.78087437106,-7.678603482346091
VAL,2022-11-02,2022-11-16,SHORT,14,1210461.5041588116,1057903.857772497,-152557.64638631465,-12.60326295897628
VAL,2022-12-08,2023-02-08,SHORT,62,1286832.2860459832,1091077.471647505,-195754.81439847825,-15.212146642665383
VAL,2023-05-09,2023-10-03,LONG,147,936140.745029844,1111545.255891251,175404.51086140692,18.736980714990143
VAL,2023-10-24,2024-03-04,SHORT,132,1312487.501926441,1152126.2473782916,-160361.25454814942,-12.218116691608461
VAL,2024-03-22,2024-05-28,LONG,67,948606.279398386,1184550.8062081232,235944.5268097372,24.87275616174238
VAL,2024-07-05,2024-07-15,SHORT,10,1408605.0019403496,1206755.493822103,-201849.50811824668,-14.329745233063884
VAL,2024-07-31,2024-12-17,LONG,139,1008917.1248966522,1219994.876799792,211077.75190313987,20.92121807574249
VAL,2025-04-08,2025-08-15,SHORT,129,1454446.9801586447,1266546.6957039926,-187900.2844546521,-12.91901918859612
VAL,2025-09-09,2025-09-24,LONG,15,1044691.8571927148,1285592.5262734112,240900.66908069642,23.059495239873144
VAL,2025-10-10,2025-10-28,SHORT,18,1534688.1606410977,1308764.233946793,-225923.92669430468,-14.721161763568155
